id,item_number,name,price,listPrice,product_pic,product_description,deliveryStatus,availability,review_count,review_ratings,categoryPath
1740931!item.en-US,1740931,"Pulp & Press Organic Cold-Pressed Juice Variety Pack, 18-pack",99.99,99.99,"https://bfasset.costco-static.com/U447IH35/as/mrvrrb8p9hfpmn8tqr6fh8k/1740931-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Pulp & Press Organic Cold-Pressed Juice Variety Pack, 18-pack",in stock,in stock,35,4.428599834442139,/beverages.html|/grocery-household.html|/juice.html
130038!item.en-US,130038,"Carmex Lip Balm, Original Flavor, 0.35 oz, 12-count",9.99,13.99,"https://bfasset.costco-static.com/U447IH35/as/5749m3ppsz7mp83n3gpv9srj/130038-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Carmex Lip Balm, Original Flavor, 0.35 oz, 12-count",in stock,in stock,101,4.851500034332275,/non-prescription-remedies.html|/grocery-household.html|/grocery-health-beauty.html|/health-beauty.html|/all-costco-grocery.html|/topical-remedies.html
1786648!item.en-US,1786648,ReadyWise Outdoor Pro Meal Sampler Pack - 8 Premium Camping Meals (2 Servings Per Pouch),84.99,84.99,"https://bfasset.costco-static.com/U447IH35/as/fmpknz27qvtt6bbtxtv7r2k/1786648-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350",ReadyWise Outdoor Pro Meal Sampler Pack - 8 Premium Camping Meals (2 Servings Per Pouch),in stock,in stock,35,4.114299774169922,/grocery-household.html|/emergency-kits-supplies.html
1790039!item.en-US,1790039,"Whole Head On, Cleaned Branzino Fish (12-18 Oz. Per Fish), Min 7 Count, 10 Lbs. Total",159.99,159.99,"https://bfasset.costco-static.com/U447IH35/as/gq568wg64z9hn5nrqw9pnsj/1790039-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Whole Head On, Cleaned Branzino Fish (12-18 Oz. Per Fish), Min 7 Count, 10 Lbs. Total",in stock,in stock,95,4.400000095367432,/grocery-household.html|/meat.html|/seafood.html
1856820!item.en-US,1856820,"Pizzeria DeLuna Authentic Italian Stone-fired Pizza Pack, 6 Total Pizzas, 5.75 lbs Total",99.99,99.99,"https://bfasset.costco-static.com/U447IH35/as/x338n3fnsnvsgstx9qfqjwr/1856820-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Pizzeria DeLuna Authentic Italian Stone-fired Pizza Pack, 6 Total Pizzas, 5.75 lbs Total",in stock,in stock,126,3.3968000411987305,/prepared-food.html|/grocery-household.html|/deli.html
1795947!item.en-US,1795947,"Yupik Raw Shelled Hazelnuts, 2.2 lbs, 3-pack",44.99,44.99,"https://bfasset.costco-static.com/U447IH35/as/qx23596v2978x4r5hpjnr/1795947-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Yupik Raw Shelled Hazelnuts, 2.2 lbs, 3-pack",in stock,in stock,57,4.087699890136719,/grocery-household.html|/nuts.html|/snacks.html
1618462!item.en-US,1618462,"Dry-Cured Acorn-Fed 100% Iberico Sliced Ham 3 oz, 3-pack",74.99,74.99,"https://bfasset.costco-static.com/U447IH35/as/mmpxv5mjknq85kg6qrnpjck/1618462-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Dry-Cured Acorn-Fed 100% Iberico Sliced Ham 3 oz, 3-pack",in stock,in stock,36,4.111100196838379,/grocery-household.html|/meat.html|/pork.html
1478996!item.en-US,1478996,"Rastelli’s Antibiotic-Free Turkey Craft Burgers (32/5 Oz. Per Burger), 32 Total Packs, 10 Lbs. Total",129.99,129.99,"https://bfasset.costco-static.com/U447IH35/as/rt6695n986hhbgcg8r3tj53c/1478996-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Rastelli’s Antibiotic-Free Turkey Craft Burgers (32/5 Oz. Per Burger), 32 Total Packs, 10 Lbs. Total",in stock,in stock,55,4.236400127410889,/grocery-household.html|/meat.html|/poultry.html|/turkey.html
1161783!item.en-US,1161783,"Rastelli’s USDA Choice Black Angus Sirloin Coulotte Steak (20/6 Oz Per Steak), 20 Total Count, 7.5 Lbs. Total",199.99,199.99,"https://bfasset.costco-static.com/U447IH35/as/2j4hk65m3prbt7h38kmhsv/1161783-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Rastelli’s USDA Choice Black Angus Sirloin Coulotte Steak (20/6 Oz Per Steak), 20 Total Count, 7.5 Lbs. Total",in stock,in stock,443,4.1579999923706055,/grocery-household.html|/meat.html|/beef.html
1848583!item.en-US,1848583,"Collin Street Bakery Cake Bites Bundle, DeLuxe Fruitcake & Pineapple Pecan Cake, 2-pack, 24 Bites Total",29.99,39.99,"https://bfasset.costco-static.com/U447IH35/as/7vm63ggjn86cppk2n6nc46v/1848583-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Collin Street Bakery Cake Bites Bundle, DeLuxe Fruitcake & Pineapple Pecan Cake, 2-pack, 24 Bites Total",out of stock,out of stock,166,4.054200172424316,/grocery-household.html|/cakes-cookies.html
1774490!item.en-US,1774490,"The Unscented Company Dryer Balls, 6-count",34.99,34.99,"https://bfasset.costco-static.com/U447IH35/as/m6nvtwf64qxnkhsw7qg6ckmj/1774490-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","The Unscented Company Dryer Balls, 6-count",in stock,in stock,45,4.488900184631348,/grocery-household.html|/laundry-supplies.html|/household-cleaning.html
1731736!item.en-US,1731736,"Northfork Bison Combo Pack - (Ribeye, Striploin, Stew Meat), 6 Total Packs, 4 Lbs. Total",159.99,159.99,"https://bfasset.costco-static.com/U447IH35/as/9s442q294jqwjqgg958qb45z/1731736-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Northfork Bison Combo Pack - (Ribeye, Striploin, Stew Meat), 6 Total Packs, 4 Lbs. Total",in stock,in stock,39,4.410299777984619,/grocery-household.html|/meat.html
1609551!item.en-US,1609551,"Texas Tamale Co. Pork Tamales 6pk of 12 Each, 72-count",89.99,89.99,"https://bfasset.costco-static.com/U447IH35/as/n92hnnt93f4j47b3scpn55rn/1609551-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Texas Tamale Co. Pork Tamales 6pk of 12 Each, 72-count",in stock,in stock,208,3.894200086593628,/prepared-food.html|/grocery-household.html|/meat.html|/pork.html|/deli.html
1550654!item.en-US,1550654,"Northfork Elk Medallions, (16/5 Oz. Per Medallion), Total 8 Packs, 16-Count Total",159.99,159.99,"https://bfasset.costco-static.com/U447IH35/as/czh94p597bhxg5krm4b9kgxj/1550654-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Northfork Elk Medallions, (16/5 Oz. Per Medallion), Total 8 Packs, 16-Count Total",in stock,in stock,171,4.438600063323975,/grocery-household.html|/meat.html
1889161!item.en-US,1889161,"EcoSoul Compostable Green Essentials Party Pack, 455-count",34.99,34.99,"https://bfasset.costco-static.com/U447IH35/as/w8qzgcbsh8wwqhb7mjzg6c/4000320062-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","EcoSoul Compostable Green Essentials Party Pack, 455-count",in stock,in stock,18,4.111100196838379,/grocery-household.html|/disposable-dinnerware.html|/paper-products-food-storage.html
1890432!item.en-US,1890432,"Ready Sports Drink Light, Watermelon Lemonade, 16.9 fl oz, 12-count",22.99,22.99,"https://bfasset.costco-static.com/U447IH35/as/jtbmtzfk2cb4p9rhq9rtr67g/4000321063-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Ready Sports Drink Light, Watermelon Lemonade, 16.9 fl oz, 12-count",in stock,in stock,20,3.799999952316284,/energy-drinks.html|/beverages.html|/grocery-household.html
1848874!item.en-US,1848874,"Northfork Elk Ground (10/1Lb. Packs), 10Lbs Total",159.99,159.99,"https://bfasset.costco-static.com/U447IH35/as/qxt8hr562nbqq5tr4r8jtsj/1848874-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Northfork Elk Ground (10/1Lb. Packs), 10Lbs Total",in stock,in stock,142,4.626800060272217,/grocery-household.html|/meat.html
1347207!item.en-US,1347207,"David's Cookies No Sugar Added Cheesecake & Marble Truffle Cake, 2-pack (28 Slices Total)",69.99,69.99,"https://bfasset.costco-static.com/U447IH35/as/q8g86c38fxn8jz7tvt96/1347207-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","David's Cookies No Sugar Added Cheesecake & Marble Truffle Cake, 2-pack (28 Slices Total)",in stock,in stock,267,4.367000102996826,/grocery-household.html|/cakes-cookies.html
530975!item.en-US,530975,The Mazzetti Artistry Edition Balsamic Vinegar of Modena 8.45 fl oz.,36.99,36.99,"https://bfasset.costco-static.com/U447IH35/as/5z3m964r4pkkxcgkt6899cs/530975-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350",The Mazzetti Artistry Edition Balsamic Vinegar of Modena 8.45 fl oz.,in stock,in stock,595,4.65880012512207,/grocery-household.html|/oils-balsamic.html|/pantry.html
1928294!item.en-US,1928294,"Tru Earth In-Wash Scent Boosters, Lavender Bliss, 32.2 oz",28.99,28.99,"https://bfasset.costco-static.com/U447IH35/as/kw9vqtvt4q6cfsmqvfn886kr/4000371900-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Tru Earth In-Wash Scent Boosters, Lavender Bliss, 32.2 oz",in stock,in stock,2,4.0,/grocery-household.html|/laundry-supplies.html|/household-cleaning.html
1829209!item.en-US,1829209,"Crescent Foods Halal Hand Cut Ground Chicken, 6-2 lb. Packs, 12 Lbs. Total",119.99,119.99,"https://bfasset.costco-static.com/U447IH35/as/qqc6g335x5g4hzsc36mtw8bm/1829209-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Crescent Foods Halal Hand Cut Ground Chicken, 6-2 lb. Packs, 12 Lbs. Total",in stock,in stock,19,4.0,/grocery-household.html|/meat.html|/poultry.html
1191046!item.en-US,1191046,Stonewall Kitchen Ultimate Breakfast Gift Set,89.99,89.99,"https://bfasset.costco-static.com/U447IH35/as/wfcv7vjznm9gcc6txs9c97ps/1191046-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350",Stonewall Kitchen Ultimate Breakfast Gift Set,in stock,in stock,510,4.790200233459473,/gift-baskets.html|/grocery-household.html|/holiday-gifts.html|/all-gift-baskets-towers.html
1708969!item.en-US,1708969,Kinders Organic Garlic and  Herb with Sea Salt and Lemon 2-pack,21.99,21.99,"https://bfasset.costco-static.com/U447IH35/as/k9bgrrb4q3v4jg7889vxr8/1708969-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350",Kinders Organic Garlic and  Herb with Sea Salt and Lemon 2-pack,in stock,in stock,122,4.647500038146973,/grocery-household.html|/pantry.html|/spices-seasonings.html
1609544!item.en-US,1609544,"Texas Tamale Co. Beef Tamales 6pk of 12 Each, 72-count",89.99,89.99,"https://bfasset.costco-static.com/U447IH35/as/kgxzs9tst4sjjr9h4t73fxjw/1609544-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Texas Tamale Co. Beef Tamales 6pk of 12 Each, 72-count",in stock,in stock,155,3.774199962615967,/prepared-food.html|/grocery-household.html|/meat.html|/beef.html|/deli.html
1785747!item.en-US,1785747,"Amedei 70% Dark Chocolate, After Dinner/Hotel Lobby Chocolates, 4.5 g, 204 count",109.99,109.99,"https://bfasset.costco-static.com/U447IH35/as/p9kf3wrbb3qqbqjjhq3t5bz/1785747-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Amedei 70% Dark Chocolate, After Dinner/Hotel Lobby Chocolates, 4.5 g, 204 count",in stock,in stock,62,4.709700107574463,/grocery-household.html|/chocolates.html|/candy.html
1977125!item.en-US,1977125,"Package Free The Simplest Powder Laundry Detergent, Lavender, 300 Loads, 158 oz",29.99,29.99,"https://bfasset.costco-static.com/U447IH35/as/437mqswzcpnn7m7s26tsp9n/4000394352-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Package Free The Simplest Powder Laundry Detergent, Lavender, 300 Loads, 158 oz",in stock,in stock,6,5.0,/grocery-household.html|/laundry-supplies.html|/household-cleaning.html
1928293!item.en-US,1928293,"Tru Earth In-Wash Scent Boosters, Ocean Wave, 32.2 oz",28.99,28.99,"https://bfasset.costco-static.com/U447IH35/as/t6mw5bgnm9j9x7fjpkhr7p/4000371934-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Tru Earth In-Wash Scent Boosters, Ocean Wave, 32.2 oz",in stock,in stock,6,4.3333001136779785,/grocery-household.html|/laundry-supplies.html|/household-cleaning.html
1887739!item.en-US,1887739,Ortiz Premium Canned Seafood Gift Tin,89.99,89.99,"https://bfasset.costco-static.com/U447IH35/as/x765swfxg8nfs9n945fjf/1887739-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350",Ortiz Premium Canned Seafood Gift Tin,in stock,in stock,28,3.9642999172210693,/grocery-household.html|/pantry.html|/canned-goods.html|/canned-meats.html
1849059!item.en-US,1849059,"Mary Macleod's Shortbread Cookies Mixed Assortment, 8-pack, 48 Cookies Total",49.99,49.99,"https://bfasset.costco-static.com/U447IH35/as/rf2rh6rpvnf4cs6zn5wzxm2g/1849059-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Mary Macleod's Shortbread Cookies Mixed Assortment, 8-pack, 48 Cookies Total",in stock,in stock,32,4.6875,/grocery-household.html|/snacks.html|/cookies.html
1661170!item.en-US,1661170,"Kansas City Steak Co. USDA Choice NY Strip Steaks 16 oz. Each (Available in 4, 8, or 12 Packs)",329.99,329.99,"https://bfasset.costco-static.com/U447IH35/as/sk73ccxm4kkwm9mq8hscjr2x/1661168-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Kansas City Steak Company USDA Choice NY Strip Steaks 16 Oz. Each, 12-pack",in stock,in stock,71,4.1407999992370605,/grocery-household.html|/meat.html|/beef.html
1828359!item.en-US,1828359,Mifroma Raclette Whole Wheel Cheese 11 lbs.,149.99,149.99,"https://bfasset.costco-static.com/U447IH35/as/fft5t6rwr72x288rs6g9mwm4/1828359-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350",Mifroma Raclette Whole Wheel Cheese 11 lbs.,in stock,in stock,23,4.739099979400635,/grocery-household.html|/cheese.html|/dairy-eggs-cheese.html
776658!item.en-US,776658,"Dentyne Ice Sugar Free Gum, Arctic Chill, 16 Pieces, 12-count",12.49,12.49,"https://bfasset.costco-static.com/U447IH35/as/wk3p28s53m6q5m9k75xmjwq8/776658-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Dentyne Ice Sugar Free Gum, Arctic Chill, 16 Pieces, 12-count",in stock,in stock,54,4.7221999168396,/grocery-household.html|/candy.html|/gum-mints.html
1586587!item.en-US,1586587,Stonewall Kitchen New England Morning Batter Bowl Gift Set,59.99,59.99,"https://bfasset.costco-static.com/U447IH35/as/n5hk4vkgf3274hbqpqpwqjpv/1586587-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350",Stonewall Kitchen New England Morning Batter Bowl Gift Set,in stock,in stock,178,4.792099952697754,/gift-baskets.html|/grocery-household.html|/holiday-gifts.html|/all-gift-baskets-towers.html
1868794!item.en-US,1868794,"Whittard Tea Bag Collection, 6-pack (25 per box)",39.99,39.99,"https://bfasset.costco-static.com/U447IH35/as/tn265tk7fzcmgwkk869mf7sw/1868794-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Whittard Tea Bag Collection, 6-pack (25 per box)",in stock,in stock,21,4.476200103759766,/beverages.html|/grocery-household.html|/tea.html
1831960!item.en-US,1831960,"The Unscented Company Toilet Bowl Cleaner Tabs, 132-count",64.99,64.99,"https://bfasset.costco-static.com/U447IH35/as/2r8vgb6xxm5j3srfc2m2s5x/1831960-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","The Unscented Company Toilet Bowl Cleaner Tabs, 132-count",in stock,in stock,19,3.421099901199341,/floor-bathroom-cleaners.html|/grocery-household.html|/household-cleaning.html
1792949!item.en-US,1792949,"Wild Alaska Snow Crab Meat (Bairdi Crab 8 oz. Pack) 12 Total Packs, 6 Lbs. Total",319.99,319.99,"https://bfasset.costco-static.com/U447IH35/as/nsv3bmc9s4ftp3bc42nsm/1792949-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Wild Alaska Snow Crab Meat (Bairdi Crab 8 oz. Pack) 12 Total Packs, 6 Lbs. Total",in stock,in stock,128,4.3125,/grocery-household.html|/meat.html|/seafood.html
1298725!item.en-US,1298725,"Knorr, Hollandaise Sauce Mix, 30.2 oz",17.99,17.99,"https://bfasset.costco-static.com/U447IH35/as/n53vxbgjh4h9w5xrf4h9ggg/1298725-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Knorr, Hollandaise Sauce Mix, 30.2 oz",in stock,in stock,122,4.623000144958496,/grocery-household.html|/pantry.html|/condiments-sauces.html
