item_number,name,price,listPrice,product_pic,product_description,deliveryStatus,availability,review_count,review_ratings,categoryPath
1146273,"Medline Clear-Touch Vinyl Food Service Gloves, 100-count, 3-pack",14.99,14.99,"https://bfasset.costco-static.com/U447IH35/as/2xvpxc5h2m43wgcn6wpvc/100410436-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Clear-Touch Vinyl Food Service Gloves,100-count, 3-pack, Medium",in stock,in stock,199,4.241199970245361,/grocery-household.html|/cleaning-supplies.html|/household-cleaning.html
1586270,TRE Olive Oil Calabrian Gift Box,79.99,79.99,"https://bfasset.costco-static.com/U447IH35/as/8g43fgzbm9tcxtzbn7jph/1586270-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350",TRE Olive Oil Calabrian Gift Box,in stock,in stock,134,4.716400146484375,/gift-baskets.html|/grocery-household.html|/oils-balsamic.html|/pantry.html|/holiday-gifts.html|/all-gift-baskets-towers.html
1731678,"Celsius Sparkling Energy Drink, Kiwi Guava, 12 fl oz, 24-count",37.99,37.99,"https://bfasset.costco-static.com/U447IH35/as/t3npth6tpfwvnmmgc3gjsqpz/1731678-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Celsius Sparkling Energy Drink, Kiwi Guava, 12 fl oz, 24-count",in stock,in stock,142,4.401400089263916,/energy-drinks.html|/beverages.html|/grocery-household.html
1736935,"BIC Clic Stic Retractable Ballpoint Pen, Medium Point 1.0mm,  50-count",11.99,11.99,"https://bfasset.costco-static.com/U447IH35/as/9f2w7qns5r7bq2r682k6339/4000159900-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","BIC Clic Stic Retractable Ballpoint Pen, Medium Point 1.0mm, 50-count, Black",in stock,in stock,45,3.8889000415802,/office-products.html|/grocery-household.html|/writing-supplies-pens.html|/all-costco-grocery.html|/writing-supplies.html|/household.html
1982493,"Pre-order Complete Gourmet Thanksgiving Turkey Dinner, Serves 8, 28 lbs. Total",199.99,269.99,"https://bfasset.costco-static.com/U447IH35/as/m9wwqjvk97qgxbn2wjjtf7k/1982493-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Pre-order Complete Gourmet Thanksgiving Turkey Dinner, Serves 8, 28 lbs. Total",out of stock,out of stock,6,3.5,/prepared-food.html|/grocery-household.html|/meat.html|/poultry.html|/turkey.html|/deli.html
1997896,"Alaska Glacier Wild Alaska Chum Salmon Ikura (Roe), 4-pack, 2.2 lbs Total",129.99,129.99,"https://bfasset.costco-static.com/U447IH35/as/ts8jgsrx6xbmjrtbct9fjmc/1997896-847__1?auto=webp&format=jpg&width=350&height=350&fit=bounds&canvas=350,350","Alaska Glacier Wild Alaska Chum Salmon Ikura (Roe), 4-pack, 2.2 lbs Total",in stock,in stock,0,0.0,/grocery-household.html|/deli.html|/caviar.html
